"Domaine","Zone","Quartier","Bloc","Ilot","Nom du secteur fonctionnel","Niveau d'urbanisme","Description","Code Secteur Fonctionnel Interministériel","Nom Long","Eléments justifiants la création du secteur","Couleur","Indice de confiance"
"Echanges & Relations","Gestion de la relation avec les Usagers","Gestion de la qualité de services",,,"Gestion de la qualité de services","Quartier","Reporting vers l'usager de la qualité, au sens large, des services dont ils bénéficient. Gestion de la relation et des échanges entre l'usager et les autorités administratives en matière d'incidents ou de problèmes rencontrés par l'usager ou par une autorité administrative concernant l'usager. Suivi de la résolution de ces problèmes.","6B01-6B58-5134-1115","Interministériel::POS du SI des Services Publics Français::Echanges & Relations::Gestion de la relation avec les Usagers::Gestion de la qualité de services",,"Jaune",
"Echanges & Relations","Gestion de la relation avec les Usagers","Espace usager entreprise",,,"Espace usager entreprise","Quartier","Gestion de l'espace (virtuel ou réel) de l'usager Entreprise, de ses pièces justificatives, du suivi de toutes ses prestations et démarches. Il s'agit d'un espace permettant à l'Entreprise ou l'un de ses représentants, mais aussi aux agents en charge de la relation avec l'Entreprise, d'avoir une vision 360 des prestations et services dont elle bénificie et des rétributions ou paiements que les autorités administratives lui doivent ou qu'elle doit aux autorités administratives.  _x000D_
","6B01-6B59-5134-117D","Interministériel::POS du SI des Services Publics Français::Echanges & Relations::Gestion de la relation avec les Usagers::Espace usager entreprise",,"Jaune",
"Echanges & Relations","Relation avec les Agents","Gestion de la qualité de services",,,"Gestion de la qualité de services","Quartier","Reporting vers l'usager de la qualité, au sens large, des services dont ils bénéficient. Gestion de la relation et des échanges entre l'usager et les autorités administratives en matière d'incidents ou de problèmes rencontrés par l'usager ou par une autorité administrative concernant l'usager. Suivi de la résolution de ces problèmes.","6B01-6B59-5134-119D","Interministériel::POS du SI des Services Publics Français::Echanges & Relations::Relation avec les Agents::Gestion de la qualité de services",,"Jaune",
"MTES","Habitat, Urbanisme et Paysages","Logement",,,"Logement","Quartier","Ce quartier recouvre les politiques de financement et de droit d’accès au logement (logement social, habitat indigne, besoin en logement, aide à la pierre, aide au logement, organismes constructeurs et bailleurs) ainsi que les politiques d’amélioration de la qualité de la construction. _x000D_
","1B2F-1B76-5196-2FEB","Interministériel::POS du SI des Services Publics Français::MTES::Habitat, Urbanisme et Paysages::Logement",,"Bleu",
"MTES","Habitat, Urbanisme et Paysages","Observatoire des territoires",,,"Observatoire des territoires","Quartier","Ce quartier a pour objectif de fournir des outils et des méthodes d’observation, d’études et de diagnostics, aux niveaux local et national, pour identifier les territoires à enjeux, mesurer et analyser l’impact des politiques nationales et locales sur les évolutions de ces territoires, orienter les décisions relevant de ces politiques, évaluer et proposer de nouvelles réglementations ou modes d’action. _x000D_
","1B2F-1B76-5196-3035","Interministériel::POS du SI des Services Publics Français::MTES::Habitat, Urbanisme et Paysages::Observatoire des territoires",,"Bleu",
"MTES","Habitat, Urbanisme et Paysages","Urbanisme",,,"Urbanisme","Quartier","Ce quartier regroupe la planification urbaine (directives territoriales d’aménagement, schémas de cohérence territoriale, plans locaux d’urbanisme, zones d’aménagement concertées,…), les fonctions régaliennes de conservation des Servitudes d’Utilité Publique (incluant les plans de prévention des risques et les sites et espaces protégés), la politique foncière et l’application du droit des sols (instruction et taxes, pilotage). _x000D_
","1B2F-1B76-5196-3010","Interministériel::POS du SI des Services Publics Français::MTES::Habitat, Urbanisme et Paysages::Urbanisme",,"Bleu",
"MEAE","Coopération d'influence dans le domaine culturel et scientifique",,,,"Coopération d'influence dans le domaine culturel et scientifique","Zone","cette zone recouvre les fonctions dans le domaine de la diplomatie économique, des politiques de développement et des biens publics mondiaux, de la diplomatie d’influence, de la responsabilité et du suivi des programmes budgétaires relatifs à la coopération internationale et au développement, du suivi des actions internationales des ONG et de la société civile ainsi que du soutien aux actions des collectivités territoriales dans le cadre de la coopération décentralisée. _x000D_
","1B2F-1B77-5196-305A","Interministériel::POS du SI des Services Publics Français::MEAE::Coopération d'influence dans le domaine culturel et scientifique",,"Bleu",
"Données Transverses","Nomenclatures","Métiers de l'Etat",,,"Métiers de l'Etat","Quartier","Répertoire interministériel des métiers de l'Etat.","9288-93FD-52B9-1E2F","Interministériel::POS du SI des Services Publics Français::Données Transverses::Nomenclatures::Métiers de l'Etat",,,
"Données Transverses","Usagers","Unités Légales","Bilans comptables et financiers",,"Bilans comptables et financiers","Bloc","Données transverses relatives aux bilans comptables et financiers  des entreprises : « actif » (terrains, immeubles, etc.) et « passif » (capital, réserves, crédits, etc.).","9288-93FF-52B9-1E6A","Interministériel::POS du SI des Services Publics Français::Données Transverses::Usagers::Unités Légales::Bilans comptables et financiers",,,
"Données Transverses","Usagers","Unités Légales","Données environnementales",,"Données environnementales","Bloc","Données transverses relatives des entreprises relatives à l'environnement : politique générale en matière environnementale, pollution et gestion des déchets, recyclage déchets, nuisances, utilisation durable des ressources, changement climatique, protection de la biodiversité.","9288-9400-52B9-1E90","Interministériel::POS du SI des Services Publics Français::Données Transverses::Usagers::Unités Légales::Données environnementales",,,
"Données Transverses","Usagers","Unités Légales","Groupes",,"Groupes","Bloc","Données transverses relatives aux liens juridiques entre Entreprises (unités légales) : groupe, filiale, groupement, joint venture, etc.","9288-9401-52B9-1EB6","Interministériel::POS du SI des Services Publics Français::Données Transverses::Usagers::Unités Légales::Groupes",,,
"Données Transverses","Usagers","Unités Légales","Identité des Unités Légales / Entreprises",,"Identité des Unités Légales / Entreprises","Bloc","Données d'identité d'une entreprise (unité organisationnelle, une organisation donc, qui a une existence juridique ou légale : on parle également d'unité légale) :_x000D_
- données d'identifications (identifiant SIREN et SIRET), et d'accréditations,_x000D_
- données de localisation, d'organisation et de contact,_x000D_
- données de responsabilité et de représentation (lien avec les Personnes),_x000D_
- données sur l'activité et la vie de l'entreprise.","9288-9401-52B9-1EDC","Interministériel::POS du SI des Services Publics Français::Données Transverses::Usagers::Unités Légales::Identité des Unités Légales / Entreprises",,,
"Données Transverses","Usagers","Unités Légales","Patrimoine des Entreprises",,"Patrimoine des Entreprises","Bloc","Données transverses relatives au patrimoine des entreprises : immobilier, véhicule, etc.","9288-9402-52B9-1F02","Interministériel::POS du SI des Services Publics Français::Données Transverses::Usagers::Unités Légales::Patrimoine des Entreprises",,,
"Données Transverses","Usagers","Unités Légales","Emplois & Salaires",,"Emplois & Salaires","Bloc","Données transverses relatives à la gestion des ressources humaines au sein des Entreprises : salaires, emplois, organisation du temps de travail, relations sociales, santé et sécurité du travail, formation…","9288-9403-52B9-1F28","Interministériel::POS du SI des Services Publics Français::Données Transverses::Usagers::Unités Légales::Emplois & Salaires",,,
"Données Transverses","Usagers","Personnes","Carrières",,"Carrières","Bloc","Données tranverses relatives à l'ensemble de la carrière professionnelle des Personnes (employeur et salaire).","9288-9404-52B9-1F5D","Interministériel::POS du SI des Services Publics Français::Données Transverses::Usagers::Personnes::Carrières",,,
"Données Transverses","Usagers","Personnes","Identités des Personnes",,"Identités des Personnes","Bloc","Données d'identité d'une Personne (un individu) : données d'identification et d'état civil.","9288-9405-52B9-1F83","Interministériel::POS du SI des Services Publics Français::Données Transverses::Usagers::Personnes::Identités des Personnes",,,
"Données Transverses","Usagers","Personnes","Patrimoine des Personnes",,"Patrimoine des Personnes","Bloc","Données transverses relatives au patrimoine des Personnes : immobilier, véhicule.","9288-9405-52B9-1FA9","Interministériel::POS du SI des Services Publics Français::Données Transverses::Usagers::Personnes::Patrimoine des Personnes",,,
"Données Transverses","Usagers","Rôles & Représentations",,,"Rôles & Représentations","Quartier","Données tranverses relatives aux responsabilités d'une Personne vis-à-vis d'une Entreprise (par exemple un mandataire) ou d'une autre Personne (par exemple une tutelle).","9288-9406-52B9-1FCF","Interministériel::POS du SI des Services Publics Français::Données Transverses::Usagers::Rôles & Représentations",,,
"MAA","Forêt",,,,"Forêt","Zone","Cette zone fonctionnelle décrit les fonctionnalités et les informations liées à la mission de développement  des forêts et du bois. _x000D_
","9288-9415-52B9-20D9","Interministériel::POS du SI des Services Publics Français::MAA::Forêt",,"Bleu",
"MASSDF,MTEFPDS,MVJS","Sécurité et Protection Sociale","Actions sociales",,,"Actions sociales","Quartier","Actions sociales :_x000D_
- Gestion des prestations collectives d’action sociale multi-branche (Evaluation de la situation, prospection, suivi des dossiers, gestion des  prestataires, …)_x000D_
- Maitrise des risques liés aux prestations d’action sociale","9288-941A-52B9-2123","Interministériel::POS du SI des Services Publics Français::MASSDF,MTEFPDS,MVJS::Sécurité et Protection Sociale::Actions sociales",,"Bleu",
